       KEY   NAME                                            RED   GREEN    BLUE   ALPHA   
       278   R_17Networks_RH_DorsAttnB_PostC_2             0.020   0.463   0.055   1.000   
       279   R_17Networks_RH_DorsAttnB_PostC_3             0.020   0.463   0.063   1.000   
       280   R_17Networks_RH_DorsAttnB_PostC_4             0.020   0.463   0.067   1.000   
       281   R_17Networks_RH_DorsAttnB_PostC_5             0.020   0.463   0.071   1.000   
       282   R_17Networks_RH_DorsAttnB_PostC_6             0.020   0.463   0.075   1.000   
       283   R_17Networks_RH_DorsAttnB_PostC_7             0.020   0.463   0.078   1.000   
       284   R_17Networks_RH_DorsAttnB_PostC_8             0.020   0.463   0.082   1.000   
       285   R_17Networks_RH_DorsAttnB_FEF_1               0.020   0.467   0.059   1.000   
       286   R_17Networks_RH_DorsAttnB_FEF_2               0.020   0.467   0.063   1.000   
       287   R_17Networks_RH_DorsAttnB_FEF_3               0.020   0.467   0.067   1.000   
       288   R_17Networks_RH_SalVentAttnA_ParOper_1        0.784   0.227   0.980   1.000   
       289   R_17Networks_RH_SalVentAttnA_ParOper_2        0.784   0.227   0.984   1.000   
       290   R_17Networks_RH_SalVentAttnA_ParOper_3        0.784   0.227   0.988   1.000   
       291   R_17Networks_RH_SalVentAttnA_PrC_1            0.784   0.224   0.984   1.000   
       292   R_17Networks_RH_SalVentAttnA_Ins_1            0.780   0.227   0.973   1.000   
       293   R_17Networks_RH_SalVentAttnA_Ins_2            0.780   0.227   0.976   1.000   
       294   R_17Networks_RH_SalVentAttnA_Ins_3            0.780   0.227   0.984   1.000   
       295   R_17Networks_RH_SalVentAttnA_Ins_4            0.780   0.227   0.988   1.000   
       296   R_17Networks_RH_SalVentAttnA_Ins_5            0.780   0.227   0.992   1.000   
       297   R_17Networks_RH_SalVentAttnA_Ins_6            0.780   0.227   0.996   1.000   
       298   R_17Networks_RH_SalVentAttnA_Ins_7            0.780   0.227   1.000   1.000   
       299   R_17Networks_RH_SalVentAttnA_ParMed_1         0.780   0.227   0.969   1.000   
       300   R_17Networks_RH_SalVentAttnA_ParMed_2         0.780   0.227   0.980   1.000   
       301   R_17Networks_RH_SalVentAttnA_ParMed_3         0.769   0.200   0.976   1.000   
       302   R_17Networks_RH_SalVentAttnA_ParMed_4         0.769   0.204   0.949   1.000   
       303   R_17Networks_RH_SalVentAttnA_ParMed_5         0.769   0.204   0.953   1.000   
       304   R_17Networks_RH_SalVentAttnA_ParMed_6         0.769   0.204   0.957   1.000   
       305   R_17Networks_RH_SalVentAttnA_ParMed_7         0.769   0.204   0.961   1.000   
       306   R_17Networks_RH_SalVentAttnA_ParMed_8         0.769   0.204   0.965   1.000   
       307   R_17Networks_RH_SalVentAttnB_IPL_1            0.980   0.596   0.839   1.000   
       308   R_17Networks_RH_SalVentAttnB_PFCl_1           0.980   0.592   0.839   1.000   
       309   R_17Networks_RH_SalVentAttnB_PFCl_2           0.980   0.592   0.843   1.000   
       310   R_17Networks_RH_SalVentAttnB_PFCl_3           0.980   0.592   0.847   1.000   
       311   R_17Networks_RH_SalVentAttnB_PFCl_4           0.980   0.592   0.851   1.000   
       312   R_17Networks_RH_SalVentAttnB_PFCv_1           0.980   0.596   0.843   1.000   
       313   R_17Networks_RH_SalVentAttnB_PFCv_2           0.980   0.596   0.847   1.000   
       314   R_17Networks_RH_SalVentAttnB_PFCmp_1          0.980   0.600   0.839   1.000   
